2021-12-02 03:39:48 configure gnupg-l10n:all 2.2.27-2 <none>
2021-12-02 03:39:48 status unpacked gnupg-l10n:all 2.2.27-2
2021-12-02 03:39:48 status half-configured gnupg-l10n:all 2.2.27-2
2021-12-02 03:39:48 status installed gnupg-l10n:all 2.2.27-2
2021-12-02 03:39:48 configure libncursesw6:amd64 6.2+20201114-2 <none>
2021-12-02 03:39:48 status unpacked libncursesw6:amd64 6.2+20201114-2
2021-12-02 03:39:48 status half-configured libncursesw6:amd64 6.2+20201114-2
2021-12-02 03:39:48 status installed libncursesw6:amd64 6.2+20201114-2
2021-12-02 03:39:48 configure readline-common:all 8.1-1 <none>
2021-12-02 03:39:48 status unpacked readline-common:all 8.1-1
2021-12-02 03:39:48 status half-configured readline-common:all 8.1-1
2021-12-02 03:39:48 status installed readline-common:all 8.1-1
2021-12-02 03:39:48 configure pinentry-curses:amd64 1.1.0-4 <none>
2021-12-02 03:39:48 status unpacked pinentry-curses:amd64 1.1.0-4
2021-12-02 03:39:48 status half-configured pinentry-curses:amd64 1.1.0-4
2021-12-02 03:39:48 status installed pinentry-curses:amd64 1.1.0-4
2021-12-02 03:39:48 configure libreadline8:amd64 8.1-1 <none>
2021-12-02 03:39:48 status unpacked libreadline8:amd64 8.1-1
2021-12-02 03:39:48 status half-configured libreadline8:amd64 8.1-1
2021-12-02 03:39:48 status installed libreadline8:amd64 8.1-1
2021-12-02 03:39:48 configure gpgconf:amd64 2.2.27-2 <none>
2021-12-02 03:39:48 status unpacked gpgconf:amd64 2.2.27-2
2021-12-02 03:39:48 status half-configured gpgconf:amd64 2.2.27-2
2021-12-02 03:39:48 status installed gpgconf:amd64 2.2.27-2
2021-12-02 03:39:48 configure gpg:amd64 2.2.27-2 <none>
2021-12-02 03:39:48 status unpacked gpg:amd64 2.2.27-2
2021-12-02 03:39:48 status half-configured gpg:amd64 2.2.27-2
2021-12-02 03:39:48 status installed gpg:amd64 2.2.27-2
2021-12-02 03:39:48 configure gnupg-utils:amd64 2.2.27-2 <none>
2021-12-02 03:39:48 status unpacked gnupg-utils:amd64 2.2.27-2
2021-12-02 03:39:48 status half-configured gnupg-utils:amd64 2.2.27-2
2021-12-02 03:39:48 status installed gnupg-utils:amd64 2.2.27-2
2021-12-02 03:39:48 configure gpg-agent:amd64 2.2.27-2 <none>
2021-12-02 03:39:48 status unpacked gpg-agent:amd64 2.2.27-2
2021-12-02 03:39:48 status half-configured gpg-agent:amd64 2.2.27-2
2021-12-02 03:39:49 status installed gpg-agent:amd64 2.2.27-2
2021-12-02 03:39:49 configure gpgsm:amd64 2.2.27-2 <none>
2021-12-02 03:39:49 status unpacked gpgsm:amd64 2.2.27-2
2021-12-02 03:39:49 status half-configured gpgsm:amd64 2.2.27-2
2021-12-02 03:39:49 status installed gpgsm:amd64 2.2.27-2
2021-12-02 03:39:49 configure dirmngr:amd64 2.2.27-2 <none>
2021-12-02 03:39:49 status unpacked dirmngr:amd64 2.2.27-2
2021-12-02 03:39:49 status half-configured dirmngr:amd64 2.2.27-2
2021-12-02 03:39:49 status installed dirmngr:amd64 2.2.27-2
2021-12-02 03:39:49 configure gpg-wks-server:amd64 2.2.27-2 <none>
2021-12-02 03:39:49 status unpacked gpg-wks-server:amd64 2.2.27-2
2021-12-02 03:39:49 status half-configured gpg-wks-server:amd64 2.2.27-2
2021-12-02 03:39:49 status installed gpg-wks-server:amd64 2.2.27-2
2021-12-02 03:39:49 configure gpg-wks-client:amd64 2.2.27-2 <none>
2021-12-02 03:39:49 status unpacked gpg-wks-client:amd64 2.2.27-2
2021-12-02 03:39:49 status half-configured gpg-wks-client:amd64 2.2.27-2
2021-12-02 03:39:49 status installed gpg-wks-client:amd64 2.2.27-2
2021-12-02 03:39:49 configure gnupg:all 2.2.27-2 <none>
2021-12-02 03:39:49 status unpacked gnupg:all 2.2.27-2
2021-12-02 03:39:49 status half-configured gnupg:all 2.2.27-2
2021-12-02 03:39:49 status installed gnupg:all 2.2.27-2
2021-12-02 03:39:49 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2021-12-02 03:39:49 status half-configured libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:39:49 status installed libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:40:01 startup archives unpack
2021-12-02 03:40:01 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2021-12-02 03:40:01 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2021-12-02 03:40:02 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2021-12-02 03:40:02 install libgdbm6:amd64 <none> 1.19-2
2021-12-02 03:40:02 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2021-12-02 03:40:02 status half-installed libgdbm6:amd64 1.19-2
2021-12-02 03:40:02 status unpacked libgdbm6:amd64 1.19-2
2021-12-02 03:40:02 install libgdbm-compat4:amd64 <none> 1.19-2
2021-12-02 03:40:02 status half-installed libgdbm-compat4:amd64 1.19-2
